Anime,Spot Name,Prefecture,City,Description
Your Name,Suga Shrine Stairs,Tokyo,Shinjuku,Famous staircase featured in the ending scene of Your Name.
Your Name,Hida-Furukawa Station,Gifu,Hida,Railway station that inspired scenes from the film.
Your Name,Hida City Library,Gifu,Hida,Library visited by fans due to its appearance in the movie.
Your Name,Keta Wakamiya Shrine,Gifu,Hida,Shrine associated with locations from the story.
Your Name,Furukawa Festival Exhibition Hall,Gifu,Hida,Related to scenes inspired by local culture.
Slam Dunk,Kamakura High School Crossing,Kanagawa,Kamakura,The iconic railroad crossing from the anime opening.
Slam Dunk,Shichirigahama Beach,Kanagawa,Kamakura,Scenic beach associated with the series atmosphere.
Slam Dunk,Enoshima,Kanagawa,Fujisawa,Famous sightseeing area near key anime locations.
Slam Dunk,Kamakura Kokomae Station,Kanagawa,Kamakura,Station overlooking the famous crossing.
Slam Dunk,Shonan Coast,Kanagawa,Fujisawa,Coastal area associated with the series setting.
K-On!,Toyosato Elementary School,Shiga,Toyosato,Model for Sakuragaoka High School.
K-On!,Toyosato Station,Shiga,Toyosato,Nearest station to the main pilgrimage site.
K-On!,Demachiyanagi Station,Kyoto,Kyoto,Location associated with scenes from the series.
K-On!,Shugakuin Station,Kyoto,Kyoto,Area believed to inspire background scenes.
K-On!,Sanzen-in Temple Road,Kyoto,Kyoto,Area visited by fans during pilgrimage trips.
Sound! Euphonium,Uji Bridge,Kyoto,Uji,One of the most recognizable locations in the anime.
Sound! Euphonium,Keihan Uji Station,Kyoto,Uji,Station frequently appearing in the series.
Sound! Euphonium,Daikichiyama Observatory,Kyoto,Uji,Viewpoint featured in emotional scenes.
Sound! Euphonium,Uji River,Kyoto,Uji,Important backdrop throughout the story.
Sound! Euphonium,Byodoin Omotesando,Kyoto,Uji,Shopping street visited by fans.
Evangelion,Hakone Yumoto Station,Kanagawa,Hakone,Gateway to many Evangelion-themed locations.
Evangelion,Lake Ashi,Kanagawa,Hakone,Scenic lake associated with Tokyo-3 imagery.
Evangelion,Owakudani,Kanagawa,Hakone,Volcanic valley popular among fans.
Evangelion,Sengokuhara,Kanagawa,Hakone,Area linked to the anime setting.
Evangelion,Hakone Ropeway,Kanagawa,Hakone,Offers views of locations tied to the series.
Demon Slayer,Kamado Shrine,Fukuoka,Dazaifu,Shrine often associated with the Kamado family name.
Demon Slayer,Ichito-Ishi,Nara,Nara,Split boulder connected by fans to the series.
Demon Slayer,Asakusa,Tokyo,Taito,District featured in early story arcs.
Demon Slayer,Mount Kumotori,Tokyo,Okutama,Mountain associated with Tanjiro's training.
Demon Slayer,Hita,Oita,Hita,City with several fan attractions.
Steins;Gate,Akihabara Station,Tokyo,Chiyoda,Central transportation hub in the series.
Steins;Gate,Radio Kaikan,Tokyo,Chiyoda,Iconic building appearing throughout the anime.
Steins;Gate,Kanda Myojin,Tokyo,Chiyoda,Popular pilgrimage destination nearby.
Steins;Gate,Chuo Street,Tokyo,Chiyoda,Main street of Akihabara.
Steins;Gate,Manseibashi,Tokyo,Chiyoda,Bridge area recognizable to fans.
Girls und Panzer,Oarai Isosaki Shrine,Ibaraki,Oarai,Major pilgrimage spot from the anime.
Girls und Panzer,Oarai Marine Tower,Ibaraki,Oarai,Landmark featured in the series.
Girls und Panzer,Oarai Seaside Station,Ibaraki,Oarai,Popular stop for visitors.
Girls und Panzer,Sun Beach Oarai,Ibaraki,Oarai,Beach area appearing in local scenes.
Girls und Panzer,Oarai Shopping Street,Ibaraki,Oarai,Town center supporting the anime.
Love Live!,Kanda Myojin,Tokyo,Chiyoda,One of the most famous Love Live! locations.
Love Live!,Akihabara,Tokyo,Chiyoda,Core setting of the series.
Love Live!,Ochanomizu Station,Tokyo,Chiyoda,Frequently seen in the anime.
Love Live!,UDX Plaza,Tokyo,Chiyoda,Popular fan meeting point.
Love Live!,Takebashi Area,Tokyo,Chiyoda,Background inspiration for several scenes.
Attack on Titan,Hita Station,Oita,Hita,Home city of creator Hajime Isayama.
Attack on Titan,Attack on Titan Museum,Oita,Hita,Museum dedicated to the series.
Attack on Titan,Oyama Dam,Oita,Hita,Famous titan statues nearby.
Attack on Titan,Mizube no Sato Oyama,Oita,Hita,Popular stop for fans.
Attack on Titan,Hita Waterfront,Oita,Hita,Area associated with fan tourism.
Spirited Away,Dogo Onsen,Ehime,Matsuyama,Historic bathhouse linked by fans to the film.
Spirited Away,Kanaguya Ryokan,Nagano,Yamanouchi,Often cited as inspiration for bathhouse design.
Spirited Away,Jiufen,New Taipei,Jiufen,Popular fan-associated destination.
Spirited Away,Meguro Gajoen,Tokyo,Meguro,Architecture reminiscent of film aesthetics.
Spirited Away,Edo-Tokyo Open Air Museum,Tokyo,Koganei,Reported inspiration for elements of the film.
Your Name,Yotsuya Station,Tokyo,Shinjuku,Station near the iconic staircase.
Your Name,Shinanomachi Station,Tokyo,Shinjuku,Area matching scenes from the movie.
Your Name,Suga Shrine,Tokyo,Shinjuku,Pilgrimage destination for fans.
K-On!,Kyoto Concert Hall Area,Kyoto,Kyoto,Area visited by fans of the series.
K-On!,Kitashirakawa Area,Kyoto,Kyoto,Neighborhood linked to anime backgrounds.
Sound! Euphonium,JR Uji Station,Kyoto,Uji,Transportation hub featured in the series.
Sound! Euphonium,Ujigami Shrine,Kyoto,Uji,Historic shrine near anime locations.
Sound! Euphonium,Asagiri Bridge,Kyoto,Uji,Bridge appearing in fan pilgrimages.
Slam Dunk,Enoden Line,Kanagawa,Kamakura,Railway line associated with the anime.
Slam Dunk,Koshigoe Beach,Kanagawa,Kamakura,Coastal scenery matching the series atmosphere.
Slam Dunk,Shonan Monorail,Kanagawa,Kamakura,Transit route used by visitors.
Evangelion,Hakone Shrine,Kanagawa,Hakone,Popular destination in themed tourism.
Love Live!,Ueno Park,Tokyo,Taito,Area visited by fans exploring Tokyo.
Girls und Panzer,Oarai Hotel Area,Ibaraki,Oarai,Useful location for tourism planning.
Demon Slayer,Dazaifu Tenmangu Area,Fukuoka,Dazaifu,Frequently visited with Kamado Shrine.
Love Live!,Kanda Myojin,Tokyo,Chiyoda,Famous shrine frequently visited by Love Live! fans.
Love Live!,Ochanomizu Station,Tokyo,Chiyoda,Station area featured in the anime.
Love Live!,Akihabara Station,Tokyo,Chiyoda,Central location of the series.
Love Live!,Akihabara UDX,Tokyo,Chiyoda,Popular gathering place for fans.
Love Live!,Takebashi Area,Tokyo,Chiyoda,Background inspiration for several scenes.
Girls und Panzer,Oarai Isosaki Shrine,Ibaraki,Oarai,One of the most famous locations from the anime.
Girls und Panzer,Oarai Marine Tower,Ibaraki,Oarai,Landmark featured throughout the series.
Girls und Panzer,Sun Beach Oarai,Ibaraki,Oarai,Beach area associated with the anime.
Girls und Panzer,Oarai Station,Ibaraki,Oarai,Main arrival point for visitors.
Girls und Panzer,Oarai Shopping Street,Ibaraki,Oarai,Town center supporting anime tourism.
Steins;Gate,Radio Kaikan,Tokyo,Chiyoda,Iconic building appearing throughout the series.
Steins;Gate,Kanda Myojin,Tokyo,Chiyoda,Shrine visited by many fans.
Steins;Gate,Manseibashi,Tokyo,Chiyoda,Bridge area recognizable from the anime.
Steins;Gate,Chuo Street,Tokyo,Chiyoda,Main avenue in Akihabara.
Steins;Gate,Akihabara Electric Town,Tokyo,Chiyoda,Core setting of the story.
Attack on Titan,Hita Station,Oita,Hita,Home city of creator Hajime Isayama.
Attack on Titan,Attack on Titan Museum,Oita,Hita,Museum dedicated to the franchise.
Attack on Titan,Oyama Dam,Oita,Hita,Famous titan statues nearby.
Attack on Titan,Mizube no Sato Oyama,Oita,Hita,Popular stop for fans visiting Hita.
Attack on Titan,Hita Waterfront,Oita,Hita,Area associated with local fan tourism.
